1;;;privilege escalation;when an attacker gains privileges
1;;malware;malware;malicious software
1;;adware;adware;spyware in advertising 
1;;;crypto-malware;ransomware
1;;;ransomware;type of malware that encrypts user files and demands payment
1;;;armored viruses;a polymorphic virus with obfuscated code
1;;;phishing;tech + social engineering 
1;;;spear phishing;targeted phishing
1;;;whaling;spear phishing at high profile target
1;;;vishing;voice phishing, with fake CID
1;;;pharming;fake/imposter website
1;;;tailgating;following an authorized person into a restricted space
1;;;shoulder surfing;looking over someone's shoulder for information
1;;;hoax;viral message containing falsehood shared via social networks
1;;DOS;denial of service;
1;;DDOS;distributed denial of service;
1;;ICMP;Internet Control Message Protocol;
1;;;ping;icmp echo
1;;;smurf attack;type of DOS attack, send pings to broadcast address , with origin set to target ip.
1;;;spoofing;uses false identity as part of an attack, examples: IP spoofing, MAC address spoofing
1;;MiTM;man in the middle;attacker intercepts traffic between two parties
1;;;replay;an attack that retransmits sniffed packets
1;;;Pass the Hash;a type of attack, where attacker obtains hash that is used to authenticate, such as in LM or NTLM systems
1;;;zero-day vulnerabilities;vulnerabilities unreported
1;;;password guessing;attacking by guessing user credentials, mostly usernames and passwords
1;;;brute force attack;attacking by using trial and error to gain privilege or decrypt data
1;;;dictionary attack;an attack that uses a library of words or data
1;;;dns poisoning;redirect traffic by changing ip of a domain
1;;;arp poisoning;arp requests are auto accepted, so a request can assign a false ip / mac address to network
1;;xsrf;Cross-Site Request Forgery;
1;;csrf;Cross-Site Request Forgery;
1;;xss;Cross-Site Scripting;
1;;;nullPointerException;when a reference to a value in running code is expected but not found
1;;;Rogue access points;when an unauthorized Wi-Fi access point connects to a network
1;;;evil twin;when a Wi-Fi access point spoofs a legitimate access point
1;;;bluejacking;an attack via bluetooth
1;;;bluesnarfing;more dangerous than bluejacking, can expose or alter user info
1;;;packet sniffing;unauthorized monitoring of communications
1;;;threat actor;one that attacks in the domain of cybersecurity
1;;;threat actor types;script kiddies, insiders, hacktivists, organized crime, competitors, nation states
1;;;threat actor attributes;relationship organization, motive, intent, and capability
1;;OSINT;Open Source Intelligence;
1;;;black box;unknown internals
1;;;white box;internals are known or knowable
1;;;pen test phases;plan, discovery, attack, report
1;;;grey box;some internals are known, some are not
1;;;vulnerability scan;searching for known attack vectors
1;;;credentialed vulnerability scan;a vulnerability scan from a privileged space
1;;;race condition;an out-of-control, unbound software process
1;;;input validation;proper input handling
1;;;adding a salt;adding randomized data to an encryption key
1;;;firewalls;separate internal/external networks, 
1;;;packet filtering;network layer 3
1;;;proxy;circuit, session layer 5, application layer 7
1;;;stateless firewalls;BAC list filter
1;;;stateful firewalls;analyze patterns and data flow
1;;NIDS;N intrusion detection system;
1;;NIPS;N intrusion prevention system;
1;;;protocol analyzer;aka packet sniffer, collects and analyzes packet-level communication
1;;;intrusion detection;network monitors that detect a security breach
1;;IDS;Intrusion Detection System;
1;;;loop protection;makes checks in layer2 switched networks
1;;;flood guard;a type of firewall service that helps address DOS attacks
1;;;implicit deny;the default state of a firewall or hardened service
1;;;port security;security defenses at the port level
1;;DMZ;DeMilitarized Zone;
1;;VLAN;Virtual LAN;
1;;LAN;Local Area Network;
1;;SIEM;Security Information and Event Management;
1;;WORM;Write Once, Read Many;
1;;NAC;Network Access Control;
1;;NAT;Network Address Translation;
1;;NDA;Non-Disclosure Agreement;
1;;3DES;Triple Data Encryption Standard;
1;;AAA;Authentication, Authorization, and Access;
1;;;Network load balancers;devices that help reduce network congestion
1;;;VPN concentrator;a network device that manages traffic between a firewall and VPN
1;;HIDS;Host-based IDS;
1;;NIDS;Network-based IDS;
1;;DLP;Data Loss Prevention;
1;;HSM;Hardware Security Module;
1;;;Signature-based methods;when a unique ID is assigned to a particular threat at the software level
1;;;false positive;a false alarm
1;;;false negative;a signal that all is well when an issue exists
1;;;SSID broadcast;a SSID is publicly viewable via interfacing queries
1;;SSID;Service Set Identifier;Wifi ID
1;;;honeypot;a system designed to be a decoy
1;;;honeynets;a network of decoy systems
1;;;ping;a network utility that sends ICMP packets and expects them echoed back
1;;;nmap;network scanner / mapper
1;;;netstat;port 15 utility that shows interface and connection information
1;;;nbstat;Windows version of netstat
1;;;dig;a network tool for querying DNS
1;;;auditing user permissions;a way to verify an implementation of least privilege of users
1;;DEP;Data Execution Prevention;
1;;;jailbreaking;installing a custom kernel on iOS to allow unauthorized apps to run
1;;;rooting;gaining root-level access to an AndroidOS system
1;;HTTP;HyperText Transfer Protocol;port 80
1;;FTP;File Transfer Protocol;ports 20 data transfer, port 21 controls
1;;SSH;Secure Shell;port 22, encryption via IDEA, Blowfish, DES, or 3DES
1;;SCP;Secure Copy;port 22, ssh,scp,sftp
1;;SFTP;SSH FTP;port 22
1;;;telnet;port 23, terminal emulation protocol/program
1;;SMTP;Simple Mail Transfer Protocol;port 25
1;;DNS;Domain Name Service (sometimes DN.. System);port 53
1;;NTP;Network Time Protocol;port 123
1;;LDAP;Lightweight Directory Access Protocol;port 389
1;;HTTPS;Secure HTTP;port 443
1;;LDAPS;Secure LDAP;port 636
1;;FTPS;Secure FTP;ports 989,990
1;;RDP;Reliable Data Protocol;port 3389, used in OSI Transport Layer
1;;COBIT;Control Objectives for Information and Related Technologies;business/IT framework of best practices for IT management
1;;COSO;Committee of Sponsoring Organizations of the Treadway Commission;combats corporate fraud and provides widely accepted control framework for enterprise governance and risk management, with standards like COBIT
1;;;benchmarks;a standardized way to compare things
1;;SDN;Software Defined Networking;
1;;SPAN;Switched Port Analyzer;Cisco brand of port mirroring, a network tap
1;;TPM;Trusted Platform Module;
1;;;bitlocker full-disk encryption;
1;;EMI;ElectroMagnetic Interference;
1;;SDLC;Software Development Life Cycle;
1;;;waterfall;a linear-sequential life cycle model
1;;;agile; iterative project cycles that continually improve with each release
1;;;secure devops;software developers that include security at a fundamental level
1;;CI;Continuous Integration;
1;;;CIserve;a continuous integration service for devops
1;;;fuzzing;a black-box software testing process that throws randomized data at inputs to detect bugs.
1;;SaaS;Software as a Service;
1;;PaaS;Platform as a Service;
1;;IaaS;Infrastructure as a Service;API services that provide abstraction from physical resources, cloud computing
1;;;hypervisor;aka Virtual Machine Monitor/VMM, hypervisor is variant of supervisor / kernel of OS
1;;;hypervisor , Type 1 aka Bare Metal;
1;;;hypervisor, Type 2;guest OS runs as a process on host system
1;;CASB;Cloud Access Security Broker;
1;;;scalability;ability to expand/contract service capacity
1;;;elasticity;capacity to dynamically change available infrastructure resources as workload changes
1;;RAID;Redundant Array of Inexpensive/Independent Disks;
1;;;RAID 0;striping without mirroring or parity checks, 2 drives min.
1;;;RAID 1;mirroring without striping or parity checks, 2 drives min.
1;;;RAID 5;block-level striping and parity checks, may handle failure of 1 drive, 3 drives min.
1;;;RAID 3;parallel transfer with parity bit, data written to all drives simultaneously, parity bit written to own nonredundant drive, 3 drives min.
1;;;RAID 10;RAID 1+0: may sustain multiple drive losses so long as no mirror loses all its drives, 4 drives min.
1;;;mantrap;air lock, but for security / access control
1;;;fire suppression Class A;wood
1;;;fire suppression Class B;liquids/gases
1;;;fire suppression Class C;electrical
1;;;fire suppression Class D;metals
1;;PDS;Protected Distribution Systems;
1;;;identification;when a user presents unique info that claims an identity
1;;;authentication;the process of validating an identity as represented by user credentials
1;;;authorization;Answers question: may user X do Y to Z?
